CREW_INDICATOR,CREW_ID,BID_PERIOD,BASE,TRANSACTION_CODE,PAIRING_NO,PAIRING_DATE,TO_DATE,PAIRING_POSITION,PRIOR_TXN_CODE,LINE_TYPE,CREW_TYPE,NEW_DATA,MESSAGE_ID,FROM_TIME,TO_TIME,CREDIT,FILL,UPDATED_BY,UPDATE_DATE,UPDATE_TIME,update_dt
FA,11859,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,15099,2024-10-30,07:46:16,2024-10-30 07:46:16
FA,11859,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:00:00,00:00:00,00:00:00,NA,11859,2024-10-31,14:56:15,2024-10-31 14:56:15
FA,13808,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,13808,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,22766,2024-09-28,02:44:32,2024-09-28 02:44:32
FA,13808,2024-10,HNL,N85,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,12:00:00,00:00:00,NA,7453,2024-10-26,22:25:24,2024-10-26 22:25:24
FA,13808,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,7453,2024-10-26,22:25:24,2024-10-26 22:25:24
FA,13868,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,13868,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,00:00:00,00:00:00,NA,19260,2024-10-18,12:57:57,2024-10-18 12:57:57
FA,13868,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,19260,2024-10-18,12:57:57,2024-10-18 12:57:57
FA,13868,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,09:00:00,21:00:00,00:00:00,NA,6319,2024-10-24,05:37:10,2024-10-24 05:37:10
FA,13868,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,09:00:00,21:00:00,00:00:00,NA,2778,2024-10-29,14:10:37,2024-10-29 14:10:37
FA,13868,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:00:00,00:00:00,00:00:00,NA,13868,2024-10-31,02:15:46,2024-10-31 02:15:46
FA,13936,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,13936,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,00:00:00,00:00:00,NA,25799,2024-09-20,12:10:07,2024-09-20 12:10:07
FA,13936,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,00:00:00,00:00:00,NA,25799,2024-09-23,09:52:03,2024-09-23 09:52:03
FA,13936,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,7453,2024-10-11,20:55:12,2024-10-11 20:55:12
FA,13936,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,00:00:00,00:00:00,NA,7453,2024-10-11,20:55:12,2024-10-11 20:55:12
FA,13936,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,19260,2024-10-29,14:30:11,2024-10-29 14:30:11
FA,13936,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,19260,2024-10-29,17:19:37,2024-10-29 17:19:37
FA,13936,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,23428,2024-10-30,20:57:32,2024-10-30 20:57:32
FA,13936,2024-10,HNL,FLP,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,00:00:00,02:50:00,NA,18303,2024-10-31,12:14:05,2024-10-31 12:14:05
FA,14117,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,14117,2024-10,HNL,TTA,H3244,2024-10-31,2024-11-02,FA,NA,B,C,NA,538976288,13:40:00,05:15:00,12:30:00,NA,77777,2024-10-16,07:42:55,2024-10-16 07:42:55
FA,14117,2024-10,HNL,MMM,H3244,2024-10-31,NA,FA,NA,B,C,NA,0,13:40:00,12:55:00,12:30:00,NA,7453,2024-10-20,16:19:15,2024-10-20 16:19:15
FA,14117,2024-10,HNL,TSD,H3244B,2024-10-31,2024-11-02,FA,NA,B,C,NA,538976288,13:40:00,12:55:00,12:30:00,NA,77777,2024-10-30,10:45:40,2024-10-30 10:45:40
FA,14117,2024-10,HNL,TSA,H3284,2024-10-31,2024-11-01,FA,NA,B,C,NA,538976288,10:30:00,10:45:00,10:50:00,NA,77777,2024-10-30,10:45:40,2024-10-30 10:45:40
FA,14117,2024-10,HNL,TSA,H3277,2024-10-31,2024-11-02,FA,NA,B,C,NA,538976288,11:15:00,08:50:00,15:55:00,NA,77777,2024-10-30,10:50:37,2024-10-30 10:50:37
FA,14117,2024-10,HNL,TSD,H3284,2024-10-31,2024-11-01,FA,NA,B,C,NA,538976288,10:30:00,10:45:00,10:50:00,NA,77777,2024-10-30,10:50:37,2024-10-30 10:50:37
FA,14117,2024-10,HNL,TSD,H3277,2024-10-31,2024-11-02,FA,NA,B,C,NA,538976288,11:15:00,08:50:00,15:55:00,NA,77777,2024-10-30,10:51:13,2024-10-30 10:51:13
FA,14117,2024-10,HNL,TSA,H3356,2024-10-31,2024-11-02,FA,NA,B,C,NA,538976288,10:45:00,10:55:00,20:30:00,NA,77777,2024-10-30,10:51:13,2024-10-30 10:51:13
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,07:24:25,2024-10-31 07:24:25
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,07:34:36,2024-10-31 07:34:36
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,07:45:14,2024-10-31 07:45:14
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,08:04:46,2024-10-31 08:04:46
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,08:18:15,2024-10-31 08:18:15
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,08:34:33,2024-10-31 08:34:33
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,08:46:00,2024-10-31 08:46:00
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,09:06:20,2024-10-31 09:06:20
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,09:33:26,2024-10-31 09:33:26
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,09:33:28,2024-10-31 09:33:28
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,09:47:49,2024-10-31 09:47:49
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,09:53:04,2024-10-31 09:53:04
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,10:16:09,2024-10-31 10:16:09
FA,14117,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14117,2024-10-31,10:33:37,2024-10-31 10:33:37
FA,14278,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,14278,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14278,2024-10-31,11:09:52,2024-10-31 11:09:52
FA,14278,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,14278,2024-10-31,11:10:25,2024-10-31 11:10:25
FA,14444,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,14444,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,22766,2024-10-24,22:06:55,2024-10-24 22:06:55
FA,14444,2024-10,HNL,2SK,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,23:58:00,04:15:00,NA,6319,2024-10-30,10:15:56,2024-10-30 10:15:56
FA,14444,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,6319,2024-10-30,10:15:56,2024-10-30 10:15:56
FA,14577,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,14577,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,22766,2024-09-28,02:29:08,2024-09-28 02:29:08
FA,14577,2024-10,HNL,TTA,H7080,2024-10-31,2024-11-01,FA,NA,B,P,NA,538976288,10:25:00,15:15:00,09:17:00,NA,8407,2024-09-28,13:54:14,2024-09-28 13:54:14
FA,14577,2024-10,HNL,TBS,BH64,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,8407,2024-09-28,15:34:15,2024-09-28 15:34:15
FA,14577,2024-10,HNL,TSA,H3248,2024-10-31,2024-11-02,FA,NA,B,C,NA,538976288,21:15:00,12:55:00,12:30:00,NA,77777,2024-10-05,18:52:52,2024-10-05 18:52:52
FA,14577,2024-10,HNL,TSD,H7080,2024-10-31,2024-11-01,FA,NA,B,C,NA,538976288,10:25:00,15:15:00,09:17:00,NA,77777,2024-10-05,18:52:52,2024-10-05 18:52:52
FA,14577,2024-10,HNL,TTD,H3248,2024-10-31,2024-11-02,FA,NA,B,C,NA,538976288,21:15:00,12:55:00,12:30:00,NA,7453,2024-10-23,21:46:59,2024-10-23 21:46:59
FA,14577,2024-10,HNL,TTA,H3264,2024-10-31,2024-11-02,FA,NA,B,C,NA,538976288,20:10:00,10:10:00,12:30:00,NA,7453,2024-10-23,21:50:15,2024-10-23 21:50:15
FA,14577,2024-10,HNL,TSD,H3264,2024-10-31,2024-11-02,FA,NA,B,C,NA,538976288,20:10:00,10:10:00,12:30:00,NA,77777,2024-10-24,18:33:41,2024-10-24 18:33:41
FA,15309,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,15309,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,24217,2024-09-28,21:33:33,2024-09-28 21:33:33
FA,15309,2024-10,HNL,2SK,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,23:58:00,04:15:00,NA,6319,2024-10-30,10:04:13,2024-10-30 10:04:13
FA,15309,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,6319,2024-10-30,10:04:13,2024-10-30 10:04:13
FA,15371,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,15371,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,24217,2024-09-28,04:16:50,2024-09-28 04:16:50
FA,15452,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,15452,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,7453,2024-09-25,21:50:54,2024-09-25 21:50:54
FA,15452,2024-10,HNL,RRD,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,02:00:00,14:00:00,00:00:00,NA,88888,2024-10-30,14:14:00,2024-10-30 14:14:00
FA,15452,2024-10,HNL,ASN,H3248,2024-10-31,2024-11-02,FA,NA,R,C,NA,0,21:15:00,12:55:00,00:00:00,NA,88888,2024-10-30,14:14:00,2024-10-30 14:14:00
FA,15539,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,15539,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,19260,2024-10-21,15:02:38,2024-10-21 15:02:38
FA,15539,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,00:00:00,00:00:00,NA,19260,2024-10-21,15:02:38,2024-10-21 15:02:38
FA,15539,2024-10,HNL,RRD,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,02:00:00,14:00:00,00:00:00,NA,88888,2024-10-29,13:46:00,2024-10-29 13:46:00
FA,15565,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,15565,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,7453,2024-10-10,17:20:55,2024-10-10 17:20:55
FA,15565,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,00:00:00,00:00:00,NA,7453,2024-10-10,17:20:55,2024-10-10 17:20:55
FA,15565,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,6319,2024-10-30,10:04:43,2024-10-30 10:04:43
FA,15565,2024-10,HNL,RSK,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,23:59:00,00:00:00,00:00:00,NA,6319,2024-10-30,10:04:43,2024-10-30 10:04:43
FA,15565,2024-10,HNL,2SK,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,23:58:00,04:12:00,NA,6319,2024-10-30,10:04:43,2024-10-30 10:04:43
FA,15998,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,15998,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,24217,2024-09-27,23:54:35,2024-09-27 23:54:35
FA,15998,2024-10,HNL,RRD,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,02:00:00,14:00:00,00:00:00,NA,88888,2024-10-29,13:46:00,2024-10-29 13:46:00
FA,16046,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,16046,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,6319,2024-09-30,09:00:28,2024-09-30 09:00:28
FA,16046,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,6319,2024-10-29,09:57:49,2024-10-29 09:57:49
FA,16155,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,16155,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,7453,2024-09-25,20:44:51,2024-09-25 20:44:51
FA,16155,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,7453,2024-10-26,21:13:13,2024-10-26 21:13:13
FA,16155,2024-10,HNL,N85,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,12:00:00,00:00:00,NA,7453,2024-10-26,21:13:13,2024-10-26 21:13:13
FA,16425,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,16425,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,24217,2024-09-28,00:40:19,2024-09-28 00:40:19
FA,16425,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,7453,2024-10-27,15:53:36,2024-10-27 15:53:36
FA,16425,2024-10,HNL,N85,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,12:00:00,00:00:00,NA,7453,2024-10-27,15:53:36,2024-10-27 15:53:36
FA,16649,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,16649,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,24217,2024-09-28,22:16:03,2024-09-28 22:16:03
FA,16649,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,09:00:00,21:00:00,00:00:00,NA,23428,2024-10-28,13:35:12,2024-10-28 13:35:12
FA,16649,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,09:00:00,21:00:00,00:00:00,NA,2778,2024-10-29,13:34:55,2024-10-29 13:34:55
FA,16669,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,16669,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,6319,2024-09-26,06:31:30,2024-09-26 06:31:30
FA,17047,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,17047,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,7453,2024-10-24,14:43:24,2024-10-24 14:43:24
FA,17047,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,00:00:00,00:00:00,NA,7453,2024-10-24,14:43:24,2024-10-24 14:43:24
FA,17047,2024-10,HNL,RRD,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,02:00:00,14:00:00,00:00:00,NA,88888,2024-10-29,13:46:00,2024-10-29 13:46:00
FA,17502,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,17502,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,7453,2024-10-25,21:57:24,2024-10-25 21:57:24
FA,17502,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:30:00,14:00:00,00:00:00,NA,6319,2024-10-30,10:33:18,2024-10-30 10:33:18
FA,17502,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:30:00,14:00:00,00:00:00,NA,15099,2024-10-30,10:47:22,2024-10-30 10:47:22
FA,17549,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,17549,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,00:00:00,00:00:00,NA,19260,2024-10-22,21:23:40,2024-10-22 21:23:40
FA,17549,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,19260,2024-10-22,21:23:40,2024-10-22 21:23:40
FA,17549,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,09:00:00,21:00:00,00:00:00,NA,6319,2024-10-24,05:33:26,2024-10-24 05:33:26
FA,17549,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,7453,2024-10-25,19:50:31,2024-10-25 19:50:31
FA,17549,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,06:00:00,18:00:00,00:00:00,NA,7453,2024-10-27,21:17:46,2024-10-27 21:17:46
FA,17549,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,06:00:00,18:00:00,00:00:00,NA,15099,2024-10-29,07:36:03,2024-10-29 07:36:03
FA,17618,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,17618,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,24217,2024-09-28,00:50:08,2024-09-28 00:50:08
FA,17618,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,23428,2024-10-28,18:54:55,2024-10-28 18:54:55
FA,18073,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,18073,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,24217,2024-09-28,04:12:02,2024-09-28 04:12:02
FA,18073,2024-10,HNL,RRD,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,02:00:00,14:00:00,00:00:00,NA,88888,2024-10-29,13:46:00,2024-10-29 13:46:00
FA,18358,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
